"countryIsoCode","country","year","Carbon dioxide emissions per capita (production) (tonnes)","Coefficient of human inequality","Gender Inequality Index (value)","Inequality in eduation","Inequality in income","Inequality in life expectancy","Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Material footprint per capita (tonnes)","Maternal Mortality Ratio (deaths per 100,000 live births)","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)"
"ALB","Albania","1990",1.675,NA,NA,NA,NA,NA,45.22,50.78,7.487,32.875,NA,NA
"ALB","Albania","1991",1.299,NA,NA,NA,NA,NA,44.52,50.11,5.721,29.074,NA,NA
"ALB","Albania","1992",0.762,NA,NA,NA,NA,NA,44.18,49.21,6.154,27.675,NA,NA
"ALB","Albania","1993",0.708,NA,NA,NA,NA,NA,36.54,48.61,5.3,26.515,NA,NA
"ALB","Albania","1994",0.584,NA,NA,NA,NA,NA,34.54,48.41,4.785,24.241,NA,NA
"ALB","Albania","1995",0.636,NA,NA,NA,NA,NA,32.54,48.2,4.904,22.034,NA,NA
"ALB","Albania","1996",0.617,NA,NA,NA,NA,NA,30.74,47.04,6.54,18.685,NA,NA
"ALB","Albania","1997",0.474,NA,NA,NA,NA,NA,43.6,74.4,5.537,18.388,NA,NA
"ALB","Albania","1998",0.543,NA,NA,NA,NA,NA,44.1,73.9,6.187,15.522,NA,NA
"ALB","Albania","1999",0.931,NA,0.307,NA,NA,NA,43.4,72,6.577,14.891,5.161,94.839
"ALB","Albania","2000",0.951,NA,0.292,NA,NA,NA,44.3,67.8,7.903,14.326,5.161,94.839
"ALB","Albania","2001",1.021,NA,0.243,NA,NA,NA,46.79,69.49,8.497,12.526,5.714,94.286
"ALB","Albania","2002",1.2,NA,0.26,NA,NA,NA,49.28,71.18,9.046,12.407,5.714,94.286
"ALB","Albania","2003",1.391,NA,0.275,NA,NA,NA,27.17,42.88,10.434,12.119,5.714,94.286
"ALB","Albania","2004",1.364,NA,0.271,NA,NA,NA,27.28,42.35,11.414,10.632,6.429,93.571
"ALB","Albania","2005",1.405,NA,0.263,NA,NA,NA,27.3,41.8,12.504,10.83,7.143,92.857
"ALB","Albania","2006",1.302,NA,0.256,NA,NA,NA,27.31,41.56,12.019,10.767,7.143,92.857
"ALB","Albania","2007",1.327,NA,0.259,NA,NA,NA,36.73,61.12,11.506,10.196,7.143,92.857
"ALB","Albania","2008",1.49,NA,0.244,NA,NA,NA,45.66,61.45,12.082,9.739,7.143,92.857
"ALB","Albania","2009",1.504,NA,0.191,NA,NA,NA,46.13,64.7,13.782,9.097,16.429,83.571
"ALB","Albania","2010",1.642,13.314,0.192,11.9,19.834,8.208,46.86,63.97,10.706,8.517,16.429,83.571
"ALB","Albania","2011",1.832,13.126,0.194,11.9,19.834,7.643,52.49,67.54,10.687,8.045,15.714,84.286
"ALB","Albania","2012",1.677,12.821,0.196,11.9,19.411,7.152,48.84,65.28,9.801,7.797,15.714,84.286
"ALB","Albania","2013",1.831,12.689,0.191,11.9,19.411,6.758,43.95,61.66,8.685,7.215,17.857,82.143
"ALB","Albania","2014",2.08,14.408,0.186,11.9,24.867,6.457,43.98,63.34,11.193,7.01,20,80
"ALB","Albania","2015",1.635,13.629,0.178,11.9,22.723,6.263,47.04,64.15,10.682,6.878,20.714,79.286
"ALB","Albania","2016",1.608,14.02,0.161,11.9,23.995,6.164,49.73,64.87,12.082,6.656,22.857,77.143
"ALB","Albania","2017",1.838,13.891,0.145,12.333,23.21,6.129,49.57,66.52,10.136,6.69,27.857,72.143
"ALB","Albania","2018",1.701,13.612,0.139,12.333,22.351,6.151,51.32,67.42,9.716,5.429,27.857,72.143
"ALB","Albania","2019",1.68,13.255,0.131,12.333,21.177,6.256,52.87,67.93,9.927,5.305,29.508,70.492
"ALB","Albania","2020",1.751,12.912,0.129,12.333,19.734,6.669,54.45,68.91,10.47,8.276,29.508,70.492
"ALB","Albania","2021",1.718,12.953,0.117,12.333,19.734,6.791,56.08,69.91,11.586,8.276,35.714,64.286
"ALB","Albania","2022",1.718,12.808,0.116,12.333,19.734,6.357,56.08,69.91,11.737,8.276,35.714,64.286
"AND","Andorra","1990",7.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","1991",7.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","1992",7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","1993",6.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","1994",6.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","1995",6.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","1996",7.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","1997",7.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","1998",7.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","1999",7.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","2000",7.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.143,92.857
"AND","Andorra","2001",7.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.286,85.714
"AND","Andorra","2002",7.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.286,85.714
"AND","Andorra","2003",7.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.286,85.714
"AND","Andorra","2004",7.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.286,85.714
"AND","Andorra","2005",7.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.571,71.429
"AND","Andorra","2006",6.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.571,71.429
"AND","Andorra","2007",6.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.571,71.429
"AND","Andorra","2008",7.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,75
"AND","Andorra","2009",6.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.714,64.286
"AND","Andorra","2010",7.224,NA,NA,NA,NA,5.217,NA,NA,NA,NA,35.714,64.286
"AND","Andorra","2011",6.958,NA,NA,NA,NA,5.215,NA,NA,NA,NA,50,50
"AND","Andorra","2012",6.862,NA,NA,NA,NA,5.209,NA,NA,NA,NA,50,50
"AND","Andorra","2013",6.674,NA,NA,NA,NA,5.201,NA,NA,NA,NA,50,50
"AND","Andorra","2014",6.446,NA,NA,9.972,NA,5.194,NA,NA,NA,NA,50,50
"AND","Andorra","2015",6.486,NA,NA,10.078,NA,5.188,NA,NA,NA,NA,39.286,60.714
"AND","Andorra","2016",6.465,9.862,NA,10.006,14.402,5.178,NA,NA,NA,NA,32.143,67.857
"AND","Andorra","2017",6.302,9.859,NA,10.006,14.402,5.169,NA,NA,NA,NA,32.143,67.857
"AND","Andorra","2018",6.594,9.857,NA,10.006,14.402,5.162,NA,NA,NA,NA,32.143,67.857
"AND","Andorra","2019",6.335,9.854,NA,10.006,14.402,5.153,NA,NA,NA,NA,46.429,53.571
"AND","Andorra","2020",4.81,9.944,NA,10.006,14.402,5.422,NA,NA,NA,NA,46.429,53.571
"AND","Andorra","2021",4.594,9.902,NA,10.006,14.402,5.298,NA,NA,NA,NA,46.429,53.571
"AND","Andorra","2022",4.594,8.253,NA,5.58,14.402,4.776,NA,NA,NA,NA,46.429,53.571
"ARM","Armenia","1990",2.516,NA,NA,NA,NA,NA,NA,NA,NA,47.283,6.316,93.684
"ARM","Armenia","1991",2.02,NA,NA,NA,NA,NA,NA,NA,NA,50.627,6.316,93.684
"ARM","Armenia","1992",1.601,NA,NA,NA,NA,NA,NA,NA,3.284,50.761,6.316,93.684
"ARM","Armenia","1993",0.726,NA,NA,NA,NA,NA,NA,NA,3.433,52.362,6.316,93.684
"ARM","Armenia","1994",0.796,NA,NA,NA,NA,NA,NA,NA,3.003,59.163,6.316,93.684
"ARM","Armenia","1995",1.012,NA,0.467,NA,NA,NA,61.51,79.4,4.015,56.784,6.316,93.684
"ARM","Armenia","1996",0.758,NA,0.461,NA,NA,NA,61.51,79.4,4.127,58.176,6.316,93.684
"ARM","Armenia","1997",0.994,NA,0.444,NA,NA,NA,54.32,68.72,4.212,54.062,6.316,93.684
"ARM","Armenia","1998",1.055,NA,0.435,NA,NA,NA,47.97,59.48,4.862,54.503,6.316,93.684
"ARM","Armenia","1999",0.948,NA,0.472,NA,NA,NA,41.63,50.23,4.449,58.477,3.053,96.947
"ARM","Armenia","2000",1.102,NA,0.451,NA,NA,NA,35.28,40.99,7.375,50.166,3.053,96.947
"ARM","Armenia","2001",1.128,NA,0.446,NA,NA,NA,36.29,44.52,7.28,49.569,3.053,96.947
"ARM","Armenia","2002",0.991,NA,0.447,NA,NA,NA,37.31,48.04,9.886,48.046,3.053,96.947
"ARM","Armenia","2003",1.12,NA,0.413,NA,NA,NA,38.32,51.57,8.323,42.614,4.58,95.42
"ARM","Armenia","2004",1.204,NA,0.404,NA,NA,NA,39.33,55.1,7.31,41.589,5.344,94.656
"ARM","Armenia","2005",1.436,NA,0.394,NA,NA,NA,40.34,58.63,7.48,37.781,5.344,94.656
"ARM","Armenia","2006",1.454,NA,0.389,NA,NA,NA,41.36,62.15,6.822,39.925,5.344,94.656
"ARM","Armenia","2007",1.698,NA,0.348,NA,NA,NA,42.37,65.68,11.082,35.867,9.16,90.84
"ARM","Armenia","2008",1.869,NA,0.338,NA,NA,NA,48.61,64.24,11.784,33.532,8.397,91.603
"ARM","Armenia","2009",1.472,NA,0.342,NA,NA,NA,51,69,12.731,33.399,9.16,90.84
"ARM","Armenia","2010",1.443,10.328,0.346,3.685,16.322,10.977,52.2,72.3,7.041,33.218,9.16,90.84
"ARM","Armenia","2011",1.696,10.06,0.342,3.685,15.976,10.52,50.59,66.25,6.787,31.458,8.397,91.603
"ARM","Armenia","2012",1.972,9.994,0.325,3.685,16.227,10.07,53.95,74.3,9.46,29.13,10.687,89.313
"ARM","Armenia","2013",1.908,10.122,0.31,3.685,17.037,9.644,53.88,74.28,10.624,27.199,10.687,89.313
"ARM","Armenia","2014",1.939,10.193,0.314,3.685,17.652,9.243,55.17,73.07,11.707,27.824,10.687,89.313
"ARM","Armenia","2015",1.9,10.064,0.299,2.935,18.388,8.868,54.17,72.37,9.178,25.102,10.687,89.313
"ARM","Armenia","2016",1.816,9.986,0.295,2.935,18.53,8.494,52.37,70.93,10.522,23.873,10.687,89.313
"ARM","Armenia","2017",1.943,10.007,0.254,2.935,18.952,8.135,52.76,70.57,9.809,25.001,18.095,81.905
"ARM","Armenia","2018",2.054,10.193,0.24,2.935,19.828,7.816,63.4,75.6,12.79,25.101,18.095,81.905
"ARM","Armenia","2019",2.228,8.983,0.219,2.935,16.52,7.495,66.33,76.17,10.611,24.938,23.485,76.515
"ARM","Armenia","2020",2.423,7.796,0.223,2.935,13.188,7.266,62.61,71.14,7.044,27.19,23.485,76.515
"ARM","Armenia","2021",2.531,8.364,0.202,2.935,15.121,7.036,62.8,71.84,8.023,27.19,33.645,66.355
"ARM","Armenia","2022",2.531,8.126,0.198,2.935,15.121,6.323,62.8,71.84,7.355,27.19,35.514,64.486
"AUT","Austria","1990",8.096,NA,0.202,NA,NA,NA,43.03,69.42,25.995,8.927,24.696,75.304
"AUT","Austria","1991",8.48,NA,0.202,NA,NA,NA,45.1,70.63,24.771,8.361,24.696,75.304
"AUT","Austria","1992",7.686,NA,0.201,NA,NA,NA,44.83,69.61,30.211,8.067,24.696,75.304
"AUT","Austria","1993",7.677,NA,0.195,NA,NA,NA,45.3,69.29,28.466,8.053,24.696,75.304
"AUT","Austria","1994",7.695,NA,0.18,NA,NA,NA,48.65,70.58,29.651,8.289,24.696,75.304
"AUT","Austria","1995",8.059,NA,0.17,NA,NA,NA,49.38,70.47,30.165,7.801,24.696,75.304
"AUT","Austria","1996",8.468,NA,0.163,NA,NA,NA,48.82,69.81,28.124,6.166,24.696,75.304
"AUT","Austria","1997",8.445,NA,0.155,NA,NA,NA,48.72,69.1,27.777,5.948,24.696,75.304
"AUT","Austria","1998",8.39,NA,0.151,NA,NA,NA,49.34,69.28,28.348,5.888,24.696,75.304
"AUT","Austria","1999",8.218,NA,0.147,NA,NA,NA,49.52,69.38,28.672,6.429,24.696,75.304
"AUT","Austria","2000",8.261,NA,0.149,NA,NA,NA,49.42,68.9,27.085,6.36,25.101,74.899
"AUT","Austria","2001",8.728,NA,0.146,NA,NA,NA,50.84,69.34,26.388,6.244,25.101,74.899
"AUT","Austria","2002",8.909,NA,0.145,NA,NA,NA,50.66,68.11,25.191,6.058,25.101,74.899
"AUT","Austria","2003",9.532,NA,0.131,NA,NA,NA,50.8,68.24,28.252,6.201,30.612,69.388
"AUT","Austria","2004",9.509,NA,0.126,NA,NA,NA,50.62,66.02,29.098,5.489,32.245,67.755
"AUT","Austria","2005",9.614,NA,0.121,NA,NA,NA,51.44,65.99,29.363,5.851,32.245,67.755
"AUT","Austria","2006",9.291,NA,0.118,NA,NA,NA,52.13,66.3,28.891,5.545,31.02,68.98
"AUT","Austria","2007",8.936,NA,0.114,NA,NA,NA,52.97,67.16,29.16,5.755,30.738,69.262
"AUT","Austria","2008",8.832,NA,0.121,NA,NA,NA,53.49,67.12,27.915,5.526,26.639,73.361
"AUT","Austria","2009",8.069,NA,0.112,NA,NA,NA,54.17,66.94,27.467,5.98,28.279,71.721
"AUT","Austria","2010",8.612,8.246,0.11,4.73,15.927,4.08,54.27,66.71,26.65,5.954,28.279,71.721
"AUT","Austria","2011",8.331,7.415,0.103,3.777,14.657,3.811,54.6,66.49,27.313,6.042,28.689,71.311
"AUT","Austria","2012",7.982,7.499,0.097,3.524,15.422,3.552,55.1,66.55,26.474,5.742,28.689,71.311
"AUT","Austria","2013",7.993,7.695,0.086,4.335,15.271,3.478,55.37,66.57,27.141,5.739,32.245,67.755
"AUT","Austria","2014",7.509,7.276,0.082,3.168,15.194,3.466,55.41,66.09,26.166,5.915,31.429,68.571
"AUT","Austria","2015",7.679,7.144,0.084,3.106,14.907,3.417,55.46,66.08,24.808,5.671,30.328,69.672
"AUT","Austria","2016",7.695,7.267,0.082,3.059,15.301,3.439,56.01,66.5,26.373,5.336,30.328,69.672
"AUT","Austria","2017",7.912,7.372,0.072,3,15.848,3.268,56.01,66.43,24.895,5.145,33.607,66.393
"AUT","Austria","2018",7.53,6.851,0.061,2.917,14.503,3.131,56.06,66.84,26.972,5.826,34.836,65.164
"AUT","Austria","2019",7.653,7.196,0.053,2.855,15.384,3.347,56.15,66.72,24.91,5.496,38.525,61.475
"AUT","Austria","2020",6.974,6.924,0.052,2.522,15.022,3.228,55.9,65.95,25.202,5.228,38.525,61.475
"AUT","Austria","2021",7.399,6.954,0.052,2.873,14.733,3.257,56.09,66.43,28.066,5.228,39.344,60.656
"AUT","Austria","2022",7.399,7.048,0.048,2.592,15.607,2.945,56.55,66.69,27.962,5.228,40.984,59.016
"AZE","Azerbaijan","1990",6.886,NA,NA,NA,NA,NA,NA,NA,NA,47.491,12,88
"AZE","Azerbaijan","1991",6.6,NA,NA,NA,NA,NA,NA,NA,NA,49.915,12,88
"AZE","Azerbaijan","1992",7.349,NA,NA,NA,NA,NA,NA,NA,5.477,51.201,12,88
"AZE","Azerbaijan","1993",6.254,NA,0.416,NA,NA,NA,46.82,78.72,5.56,57.302,12,88
"AZE","Azerbaijan","1994",5.363,NA,0.417,NA,NA,NA,45.76,69.76,5.857,59.103,12,88
"AZE","Azerbaijan","1995",4.222,NA,0.405,NA,NA,NA,44.7,60.79,5.499,58.416,12,88
"AZE","Azerbaijan","1996",3.93,NA,0.403,NA,NA,NA,43.64,51.83,5.211,65.264,12,88
"AZE","Azerbaijan","1997",3.73,NA,0.397,NA,NA,NA,44.68,50.17,5.039,61.926,12,88
"AZE","Azerbaijan","1998",3.953,NA,0.393,NA,NA,NA,44.23,50.07,5.446,63.673,12,88
"AZE","Azerbaijan","1999",3.558,NA,0.386,NA,NA,NA,57.16,72.97,5.026,55.722,12,88
"AZE","Azerbaijan","2000",3.634,NA,0.367,NA,NA,NA,72.7,82.7,5.039,55.521,12,88
"AZE","Azerbaijan","2001",3.431,NA,0.37,NA,NA,NA,70.7,80.6,4.874,55.159,10.484,89.516
"AZE","Azerbaijan","2002",3.413,NA,0.368,NA,NA,NA,68.8,78.6,6.323,54.012,10.484,89.516
"AZE","Azerbaijan","2003",3.603,NA,0.366,NA,NA,NA,67,76.7,7.28,50.945,10.484,89.516
"AZE","Azerbaijan","2004",3.77,NA,0.362,NA,NA,NA,65.4,74.5,8.444,46.812,10.484,89.516
"AZE","Azerbaijan","2005",3.95,NA,0.352,NA,NA,NA,64.1,73.1,8.105,43.893,13.043,86.957
"AZE","Azerbaijan","2006",3.939,NA,0.354,NA,NA,NA,62.54,72.08,8.48,38.761,11.29,88.71
"AZE","Azerbaijan","2007",3.383,NA,0.353,NA,NA,NA,61.58,71.45,8.706,34.41,11.382,88.618
"AZE","Azerbaijan","2008",3.671,NA,0.354,NA,NA,NA,61.23,69.9,8.559,32.793,11.382,88.618
"AZE","Azerbaijan","2009",3.191,NA,0.357,NA,NA,NA,61.78,68.53,9.494,33.329,11.382,88.618
"AZE","Azerbaijan","2010",2.982,12.08,0.342,3.441,13.656,19.142,61.96,67.83,8.151,32.81,16,84
"AZE","Azerbaijan","2011",3.228,11.795,0.341,3.442,13.656,18.287,61.5,67.5,8.9,30.739,16,84
"AZE","Azerbaijan","2012",3.455,11.517,0.341,3.412,13.656,17.484,61.4,67.8,11.106,29.373,16,84
"AZE","Azerbaijan","2013",3.49,11.262,0.343,3.503,13.656,16.627,61.4,68,17.229,28.399,15.574,84.426
"AZE","Azerbaijan","2014",3.526,11.006,0.347,3.488,13.656,15.874,62,68.3,13.388,28.973,15.574,84.426
"AZE","Azerbaijan","2015",3.516,7.418,0.342,3.532,3.588,15.133,62.4,68.5,14.57,29.378,16.935,83.065
"AZE","Azerbaijan","2016",3.481,7.153,0.328,3.544,3.588,14.327,62.8,69.5,11.107,26.018,16.8,83.2
"AZE","Azerbaijan","2017",3.436,6.895,0.314,3.564,3.588,13.533,62.9,69.7,8.92,26.893,16.8,83.2
"AZE","Azerbaijan","2018",3.406,7.369,0.312,3.584,5.703,12.819,63.1,69.7,11.245,27.6,16.8,83.2
"AZE","Azerbaijan","2019",3.688,7.161,0.317,3.552,5.703,12.228,63.3,69.7,9.177,26.87,16.807,83.193
"AZE","Azerbaijan","2020",3.515,7.304,0.333,3.552,5.703,12.659,64,69.8,9.458,40.764,17.355,82.645
"AZE","Azerbaijan","2021",3.717,6.859,0.327,3.552,5.703,11.323,64.2,70.1,8.563,40.764,18.182,81.818
"AZE","Azerbaijan","2022",3.717,6.892,0.329,3.552,5.703,11.421,61.9,69.6,8.338,40.764,18.333,81.667
"BEL","Belgium","1990",12.078,NA,0.18,NA,NA,NA,36.55,61.04,29.346,7.881,15.837,84.163
"BEL","Belgium","1991",12.352,NA,0.179,NA,NA,NA,38.01,61.4,24.754,7.643,15.837,84.163
"BEL","Belgium","1992",12.229,NA,0.175,NA,NA,NA,38.9,61.15,26.277,7.921,15.837,84.163
"BEL","Belgium","1993",12.09,NA,0.168,NA,NA,NA,39.58,60.62,26.81,8.108,15.837,84.163
"BEL","Belgium","1994",12.394,NA,0.162,NA,NA,NA,40.16,61.16,28.328,8.622,15.837,84.163
"BEL","Belgium","1995",12.475,NA,0.159,NA,NA,NA,40.53,61.17,28.715,8.885,15.837,84.163
"BEL","Belgium","1996",12.79,NA,0.16,NA,NA,NA,40.55,60.9,26.873,8.867,15.837,84.163
"BEL","Belgium","1997",12.21,NA,0.158,NA,NA,NA,41,60.66,25.115,8.517,15.837,84.163
"BEL","Belgium","1998",12.781,NA,0.157,NA,NA,NA,41.66,60.64,25.734,8.634,15.837,84.163
"BEL","Belgium","1999",12.195,NA,0.129,NA,NA,NA,43.17,61.23,28.888,8.248,24.887,75.113
"BEL","Belgium","2000",12.346,NA,0.134,NA,NA,NA,43.65,61.51,27.994,8.265,24.887,75.113
"BEL","Belgium","2001",12.228,NA,0.137,NA,NA,NA,41.87,60.51,26.603,8.013,24.887,75.113
"BEL","Belgium","2002",12.251,NA,0.131,NA,NA,NA,42.57,60.36,25.641,7.832,24.887,75.113
"BEL","Belgium","2003",12.329,NA,0.109,NA,NA,NA,42.95,60.28,28.526,7.404,34.389,65.611
"BEL","Belgium","2004",12.315,NA,0.105,NA,NA,NA,44.25,60.3,30.627,6.938,35.747,64.253
"BEL","Belgium","2005",11.945,NA,0.103,NA,NA,NA,45.69,61.38,30.734,6.753,35.747,64.253
"BEL","Belgium","2006",11.705,NA,0.102,NA,NA,NA,45.82,60.86,30.537,6.411,35.747,64.253
"BEL","Belgium","2007",11.307,NA,0.101,NA,NA,NA,46.53,61.07,30.169,6.693,36.199,63.801
"BEL","Belgium","2008",11.203,NA,0.1,NA,NA,NA,46.91,60.85,33.53,6.186,36.199,63.801
"BEL","Belgium","2009",9.977,NA,0.096,NA,NA,NA,46.95,60.38,25.545,6.119,38.914,61.086
"BEL","Belgium","2010",10.535,9.201,0.092,10.515,13.107,3.981,47.71,60.79,26.782,5.925,38.914,61.086
"BEL","Belgium","2011",9.59,8.496,0.09,8.524,13.117,3.848,47.03,59.71,28.19,5.795,38.914,61.086
"BEL","Belgium","2012",9.283,8.69,0.085,9.045,13.04,3.986,47.1,59.74,26.19,5.26,38.914,61.086
"BEL","Belgium","2013",9.251,8.141,0.075,8.052,12.581,3.789,47.77,59.67,26.232,5.547,38.914,61.086
"BEL","Belgium","2014",8.681,8.297,0.068,8.618,12.57,3.702,48.08,59.23,26.272,5.258,42.381,57.619
"BEL","Belgium","2015",8.992,7.817,0.063,7.372,12.486,3.594,48.01,58.89,23.016,5.203,42.381,57.619
"BEL","Belgium","2016",8.803,7.975,0.06,7.93,12.47,3.525,47.78,58.72,24.066,4.935,42.381,57.619
"BEL","Belgium","2017",8.701,7.929,0.057,7.604,12.455,3.728,48.72,59.16,25.318,4.912,41.429,58.571
