"countryIsoCode","country","year","CONTINENTE","Expected Years of Schooling (years)","Gross National Income Per Capita (2017 PPP$)","Human Development Index (value)","HDI Rank","Life Expectancy at Birth (years)","Mean Years of Schooling (years)"
"CIV","Côte d'Ivoire","2000","AFRICA",6.487,2777.411,0.454,NA,50.842,6.387
"CIV","Côte d'Ivoire","2001","AFRICA",6.616,2721.814,0.453,NA,50.81,6.265
"CIV","Côte d'Ivoire","2002","AFRICA",6.744,2613.705,0.451,NA,50.886,6.143
"CIV","Côte d'Ivoire","2003","AFRICA",6.872,2537.636,0.45,NA,50.954,6.021
"CIV","Côte d'Ivoire","2004","AFRICA",7.001,2519.288,0.451,NA,51.363,5.899
"CIV","Côte d'Ivoire","2005","AFRICA",7.129,2505.537,0.453,NA,51.824,5.777
"CIV","Côte d'Ivoire","2006","AFRICA",7.257,2486.219,0.455,NA,52.355,5.655
"CIV","Côte d'Ivoire","2007","AFRICA",7.386,2476.524,0.458,NA,52.97,5.532
"CIV","Côte d'Ivoire","2008","AFRICA",7.514,2492.569,0.461,NA,53.653,5.41
"CIV","Côte d'Ivoire","2009","AFRICA",7.642,2562.098,0.465,NA,54.394,5.288
"CIV","Côte d'Ivoire","2010","AFRICA",7.77,2670.427,0.47,NA,55.023,5.166
"CIV","Côte d'Ivoire","2011","AFRICA",7.899,2483.812,0.468,NA,55.52,5.044
"CIV","Côte d'Ivoire","2012","AFRICA",8.027,2654.962,0.474,NA,56.158,4.922
"CIV","Côte d'Ivoire","2013","AFRICA",8.155,2841.451,0.48,NA,56.748,4.8
"CIV","Côte d'Ivoire","2014","AFRICA",8.284,4155.854,0.499,NA,57.208,4.678
"CIV","Côte d'Ivoire","2015","AFRICA",8.548,4325.225,0.501,NA,57.762,4.309
"CIV","Côte d'Ivoire","2016","AFRICA",9.073,4515.508,0.506,NA,58.06,3.94
"CIV","Côte d'Ivoire","2017","AFRICA",9.474,4694.304,0.515,NA,58.48,4.014
"CIV","Côte d'Ivoire","2018","AFRICA",9.698,4806.423,0.522,NA,58.849,4.089
"CIV","Côte d'Ivoire","2019","AFRICA",9.922,4990.608,0.529,NA,59.319,4.163
"CIV","Côte d'Ivoire","2020","AFRICA",10.102,4938.492,0.53,NA,59.032,4.237
"CIV","Côte d'Ivoire","2021","AFRICA",10.102,5156.436,0.53,NA,58.598,4.237
"CIV","Côte d'Ivoire","2022","AFRICA",10.102,5376.396,0.534,166,58.916,4.237
"SOM","Somalia","2022","AFRICA",7.647,1072.201,0.38,193,56.107,1.9
"SOM","Somalia","2000","AFRICA",NA,632.502,NA,NA,50.66,NA
"SOM","Somalia","2001","AFRICA",NA,652.606,NA,NA,50.74,NA
"SOM","Somalia","2002","AFRICA",NA,677.771,NA,NA,50.731,NA
"SOM","Somalia","2003","AFRICA",NA,704.387,NA,NA,50.614,NA
"SOM","Somalia","2004","AFRICA",NA,728.663,NA,NA,50.538,NA
"SOM","Somalia","2005","AFRICA",NA,755.492,NA,NA,50.661,NA
"SOM","Somalia","2006","AFRICA",NA,781.897,NA,NA,50.597,NA
"SOM","Somalia","2007","AFRICA",NA,810.307,NA,NA,50.515,NA
"SOM","Somalia","2008","AFRICA",NA,840.998,NA,NA,51.12,NA
"SOM","Somalia","2009","AFRICA",NA,876.687,NA,NA,51.853,NA
"SOM","Somalia","2010","AFRICA",NA,913.567,NA,NA,50.563,NA
"SOM","Somalia","2011","AFRICA",NA,960.86,NA,NA,51.304,NA
"SOM","Somalia","2012","AFRICA",NA,1008.132,NA,NA,53.161,NA
