"countryIsoCode","country","year","CONTINENTE","Expected Years of Schooling (years)","Gross National Income Per Capita (2017 PPP$)","Human Development Index (value)","HDI Rank","Life Expectancy at Birth (years)","Mean Years of Schooling (years)"
"ALB","Albania","2000","EUROPA",10.7,6065.187,0.678,NA,75.404,8.754
"ALB","Albania","2001","EUROPA",10.918,6645.339,0.687,NA,75.639,8.824
"ALB","Albania","2002","EUROPA",11.021,6920.545,0.692,NA,75.89,8.888
"ALB","Albania","2003","EUROPA",11.376,7341.554,0.701,NA,76.142,8.953
"ALB","Albania","2004","EUROPA",11.501,7756.637,0.707,NA,76.376,9.018
"ALB","Albania","2005","EUROPA",12.234,8197.982,0.72,NA,76.621,9.083
"ALB","Albania","2006","EUROPA",12.554,8814.489,0.728,NA,76.816,9.147
"ALB","Albania","2007","EUROPA",12.973,9399.456,0.74,NA,77.549,9.212
"ALB","Albania","2008","EUROPA",13.175,9962.428,0.747,NA,77.653,9.277
"ALB","Albania","2009","EUROPA",13.36,10153.082,0.752,NA,77.781,9.452
"ALB","Albania","2010","EUROPA",14.172,10643.043,0.766,NA,77.936,9.627
"ALB","Albania","2011","EUROPA",15.002,11056.63,0.779,NA,78.092,9.802
"ALB","Albania","2012","EUROPA",15.766,11146.247,0.789,NA,78.064,10.025
"ALB","Albania","2013","EUROPA",15.996,11552.966,0.793,NA,78.123,10.015
"ALB","Albania","2014","EUROPA",16.243,11691.632,0.797,NA,78.407,10.006
"ALB","Albania","2015","EUROPA",15.912,12016.281,0.797,NA,78.644,9.996
"ALB","Albania","2016","EUROPA",15.449,12484.607,0.795,NA,78.86,9.986
"ALB","Albania","2017","EUROPA",15.326,12802.176,0.796,NA,79.047,9.977
"ALB","Albania","2018","EUROPA",15.108,13302.733,0.797,NA,79.184,10.025
"ALB","Albania","2019","EUROPA",15.178,13481.972,0.8,NA,79.282,10.073
"ALB","Albania","2020","EUROPA",14.76,13069.128,0.784,NA,76.989,10.121
"ALB","Albania","2021","EUROPA",14.572,14399.78,0.785,NA,76.463,10.121
"ALB","Albania","2022","EUROPA",14.487,15293.327,0.789,74,76.833,10.121
"AND","Andorra","2000","EUROPA",10.547,47337.675,0.815,NA,80.919,9.806
"AND","Andorra","2001","EUROPA",10.65,49880.862,0.823,NA,81.686,9.892
"AND","Andorra","2002","EUROPA",10.754,49919.169,0.828,NA,82.237,9.978
"AND","Andorra","2003","EUROPA",10.597,52014.134,0.836,NA,83.921,10.065
"AND","Andorra","2004","EUROPA",10.461,54033.492,0.828,NA,80.084,10.701
"AND","Andorra","2005","EUROPA",10.486,54886.104,0.828,NA,81.76,10.09
"AND","Andorra","2006","EUROPA",10.658,57242.224,0.842,NA,82.966,10.413
"AND","Andorra","2007","EUROPA",11.272,59658.103,0.851,NA,82.659,10.442
"AND","Andorra","2008","EUROPA",11.886,57906.853,0.857,NA,82.698,10.471
"AND","Andorra","2009","EUROPA",12.099,56471.984,0.859,NA,82.752,10.5
"AND","Andorra","2010","EUROPA",12.312,57162.419,0.863,NA,82.816,10.529
"AND","Andorra","2011","EUROPA",12.525,57928.791,0.867,NA,82.897,10.558
"AND","Andorra","2012","EUROPA",12.738,54701.561,0.867,NA,82.917,10.587
"AND","Andorra","2013","EUROPA",11.504,52499.19,0.851,NA,82.934,10.616
"AND","Andorra","2014","EUROPA",11.608,53623.112,0.854,NA,82.948,10.645
"AND","Andorra","2015","EUROPA",11.802,54297.459,0.856,NA,82.953,10.573
"AND","Andorra","2016","EUROPA",11.971,55695.332,0.859,NA,82.967,10.556
"AND","Andorra","2017","EUROPA",11.923,54906.348,0.86,NA,82.98,10.732
"AND","Andorra","2018","EUROPA",11.928,54904.29,0.863,NA,82.992,10.909
"AND","Andorra","2019","EUROPA",11.926,55035.018,0.865,NA,83.004,11.085
"AND","Andorra","2020","EUROPA",11.912,48026.39,0.843,NA,79.023,11.261
"AND","Andorra","2021","EUROPA",11.988,51128.348,0.855,NA,80.368,11.437
"AND","Andorra","2022","EUROPA",12.784,54233.449,0.884,35,83.552,11.613
"ARM","Armenia","2000","EUROPA",10.725,4047.936,0.656,NA,70.624,10.49
"ARM","Armenia","2001","EUROPA",10.506,4481.334,0.661,NA,70.932,10.488
"ARM","Armenia","2002","EUROPA",10.547,5144.307,0.67,NA,71.018,10.559
"ARM","Armenia","2003","EUROPA",10.588,5902.461,0.681,NA,71.436,10.629
"ARM","Armenia","2004","EUROPA",10.628,6610.488,0.689,NA,71.421,10.7
"ARM","Armenia","2005","EUROPA",10.881,7579.668,0.701,NA,71.792,10.771
"ARM","Armenia","2006","EUROPA",11.335,8681.503,0.714,NA,71.987,10.841
"ARM","Armenia","2007","EUROPA",11.928,10016.917,0.73,NA,72.327,10.912
"ARM","Armenia","2008","EUROPA",11.697,10843.067,0.733,NA,72.398,10.983
"ARM","Armenia","2009","EUROPA",12.232,9186.423,0.732,NA,72.813,11.053
"ARM","Armenia","2010","EUROPA",12.426,9517.274,0.739,NA,73.16,11.124
"ARM","Armenia","2011","EUROPA",12.556,9892.56,0.743,NA,73.305,11.195
"ARM","Armenia","2012","EUROPA",12.679,10718.4,0.751,NA,73.454,11.289
"ARM","Armenia","2013","EUROPA",12.801,11336.712,0.757,NA,73.676,11.383
"ARM","Armenia","2014","EUROPA",13.078,11608.186,0.764,NA,74.058,11.478
"ARM","Armenia","2015","EUROPA",13.132,11966.456,0.769,NA,74.436,11.572
"ARM","Armenia","2016","EUROPA",13.362,11854.26,0.773,NA,74.664,11.69
"ARM","Armenia","2017","EUROPA",13.592,12949.75,0.775,NA,74.906,11.188
"ARM","Armenia","2018","EUROPA",13.821,13459.018,0.781,NA,75.064,11.235
"ARM","Armenia","2019","EUROPA",13.999,14521.838,0.789,NA,75.439,11.283
"ARM","Armenia","2020","EUROPA",14.078,13181.649,0.769,NA,72.173,11.33
"ARM","Armenia","2021","EUROPA",14.43,13813.881,0.774,NA,72.043,11.33
"ARM","Armenia","2022","EUROPA",14.406,15388.3,0.786,76,73.372,11.33
"AUT","Austria","2000","EUROPA",15.233,46056.685,0.87,NA,78.236,11.106
"AUT","Austria","2001","EUROPA",15.308,46225.39,0.874,NA,78.719,11.196
"AUT","Austria","2002","EUROPA",15.383,47137.63,0.878,NA,78.847,11.287
"AUT","Austria","2003","EUROPA",15.458,47510.266,0.88,NA,78.85,11.378
"AUT","Austria","2004","EUROPA",15.533,48564.171,0.886,NA,79.363,11.468
"AUT","Austria","2005","EUROPA",15.608,49280.023,0.889,NA,79.521,11.559
"AUT","Austria","2006","EUROPA",15.683,50960.166,0.893,NA,79.966,11.545
"AUT","Austria","2007","EUROPA",15.758,52510.54,0.896,NA,80.167,11.531
"AUT","Austria","2008","EUROPA",15.861,53611.225,0.899,NA,80.364,11.468
"AUT","Austria","2009","EUROPA",15.867,51007.448,0.898,NA,80.207,11.674
